HGNC_SYMBOL,LOG2FC,PVALUE
LOC100131532,-0.037,0.585
LOC100131541,0.021,0.733
LOC100131551,0.190,0.669
LOC100131564,-0.177,0.178
LOC100131581,-0.109,0.681
LOC100131599,-0.773,0.582
LOC100131607,-0.219,0.186
LOC100131608,0.520,0.009
LOC100131635,1.310,0.487
LOC100131650,-0.161,0.679
LOC100131654,0.423,0.258
LOC100131657,0.892,0.081
LOC100131662,0.318,0.460
LOC100131667,-0.477,0.007
LOC100131691,-0.457,0.192
LOC100131702,-0.366,0.297
LOC100131719,0.037,0.570
LOC100131726,1.520,0.003
LOC100131733,0.261,0.064
LOC100131742,0.531,0.026
LOC100131756,-0.152,0.456
LOC100131763,0.194,0.163
LOC100131792,0.316,0.512
LOC100131796,-0.314,0.102
LOC100131820,-0.390,0.126
LOC100131821,-0.692,0.296
LOC100131822,0.335,0.037
LOC100131825,0.547,0.208
LOC100131826,-0.285,0.241
LOC100131829,-0.497,0.135
LOC100131831,0.133,0.374
LOC100131840,-0.266,0.437
LOC100131860,0.017,0.971
LOC100131864,1.250,0.287
LOC100131878,0.537,0.100
LOC100131894,0.301,0.436
LOC100131907,-0.582,0.018
LOC100131910,-0.009,0.978
LOC100131929,-0.143,0.853
LOC100131943,0.011,0.845
LOC100132005,-0.944,0.000
LOC100132006,-0.016,0.829
LOC100132014,0.057,0.932
LOC100132057,-0.164,0.401
LOC100132069,-1.260,0.313
LOC100132071,-0.424,0.448
LOC100132077,-0.114,0.428
LOC100132078,0.216,0.541
LOC100132099,0.565,0.317
LOC100132111,-0.125,0.271
LOC100132146,-0.171,0.122
LOC100132147,0.055,0.928
LOC100132167,-0.129,0.631
LOC100132188,-1.290,0.116
LOC100132197,0.158,0.605
LOC100132207,-0.292,0.243
LOC100132215,-0.027,0.739
LOC100132234,-0.728,0.021
LOC100132240,0.158,0.721
LOC100132244,-0.084,0.840
LOC100132247,0.296,0.080
LOC100132249,-0.022,0.438
LOC100132273,0.917,0.000
LOC100132292,0.060,0.944
LOC100132319,0.776,0.015
LOC100132336,0.153,0.137
LOC100132339,-0.337,0.469
LOC100132344,0.303,0.229
LOC100132352,-0.202,0.629
LOC100132354,0.117,0.561
LOC100132356,-0.188,0.313
LOC100132363,0.312,0.351
LOC100132368,-0.384,0.496
LOC100132396,0.351,0.546
LOC100132474,-0.048,0.883
LOC100132481,-0.150,0.563
LOC100132495,-0.952,0.068
LOC100132501,-0.412,0.099
LOC100132526,-0.268,0.595
LOC100132529,-0.582,0.016
LOC100132593,0.442,0.211
LOC100132612,-0.427,0.304
LOC100132686,-0.934,0.041
LOC100132707,0.218,0.224
LOC100132724,-0.137,0.700
LOC100132731,-0.005,0.988
LOC100132735,0.232,0.068
LOC100132741,-0.347,0.426
LOC100132764,1.050,0.201
LOC100132774,-0.258,0.010
LOC100132781,-0.466,0.355
LOC100132790,-0.256,0.472
LOC100132800,0.019,0.757
LOC100132831,-0.078,0.566
LOC100132832,-0.154,0.158
LOC100132850,-0.080,0.482
LOC100132859,-0.182,0.533
LOC100132874,0.363,0.365
LOC100132891,0.023,0.958
LOC100132966,0.024,0.138
LOC100132987,-0.132,0.339
LOC100133039,0.007,0.993
LOC100133050,-0.099,0.025
LOC100133089,-0.572,0.211
LOC100133091,0.052,0.625
LOC100133106,0.553,0.129
LOC100133123,-0.002,0.978
LOC100133130,-0.598,0.066
LOC100133131,-0.261,0.704
LOC100133145,-0.169,0.798
LOC100133161,0.123,0.731
LOC100133190,-1.260,0.002
LOC100133286,0.322,0.269
LOC100133299,0.229,0.441
LOC100133306,-0.196,0.843
LOC100133308,-0.267,0.321
LOC100133311,-0.115,0.771
LOC100133315,-0.441,0.205
LOC100133319,-0.159,0.720
LOC100133331,0.026,0.456
LOC100133461,0.020,0.753
LOC100133612,0.349,0.240
LOC100133669,-0.586,0.512
LOC100133857,-0.632,0.097
LOC100133920,-0.472,0.036
LOC100133957,0.461,0.098
LOC100133985,0.778,0.073
LOC100133991,0.144,0.723
LOC100134040,-0.186,0.753
LOC100134167,0.025,0.697
LOC100134229,-0.103,0.568
LOC100134237,-0.213,0.295
LOC100134240,0.237,0.122
LOC100134256,-0.388,0.338
LOC100134259,-0.376,0.001
LOC100134285,-0.427,0.148
LOC100134365,0.023,0.694
LOC100134368,0.247,0.508
LOC100134409,0.638,0.038
LOC100134423,-0.193,0.411
LOC100134663,0.123,0.830
LOC100134713,-0.179,0.648
LOC100134868,0.144,0.656
LOC100134937,-0.096,0.399
LOC100144597,0.194,0.229
LOC100144602,0.196,0.069
LOC100144603,-0.028,0.944
LOC100144604,-0.099,0.361
LOC100147773,-0.115,0.654
LOC100169752,0.018,0.754
LOC100170939,-0.377,0.003
LOC100188947,-0.167,0.245
LOC100189589,0.043,0.479
LOC100190938,0.009,0.894
LOC100190939,0.015,0.904
LOC100190940,-0.277,0.088
LOC100190986,-0.217,0.456
LOC100192378,-0.061,0.881
LOC100192426,0.026,0.699
LOC100216001,-0.798,0.012
LOC100216545,-0.293,0.067
LOC100216546,-0.343,0.034
LOC100233156,-0.161,0.078
LOC100233209,-0.256,0.235
LOC100240734,-0.126,0.828
LOC100240735,-0.064,0.541
LOC100268168,0.096,0.791
LOC100270679,0.486,0.494
LOC100270680,-0.335,0.098
LOC100270710,-0.006,0.927
LOC100270746,-0.242,0.259
LOC100270804,0.302,0.400
LOC100271722,-0.014,0.843
LOC100271836,0.511,0.227
LOC100272216,-0.325,0.003
LOC100286979,-0.293,0.314
LOC100287195,-0.016,0.856
LOC100287221,0.013,0.829
LOC100287225,-0.248,0.343
LOC100287314,-0.099,0.494
LOC100287326,0.575,0.382
LOC100287477,0.558,0.133
LOC100287704,0.322,0.217
LOC100287792,0.070,0.694
LOC100287879,-0.159,0.493
LOC100288018,-0.201,0.857
LOC100288069,-0.090,0.347
LOC100288292,0.104,0.304
LOC100288428,-0.187,0.477
LOC100288524,-0.897,0.245
LOC100288568,0.679,0.167
LOC100288615,-0.013,0.928
LOC100288884,0.325,0.085
LOC100288911,-0.169,0.160
LOC100289079,0.171,0.700
LOC100289090,-0.070,0.841
LOC100289094,0.084,0.841
LOC100289178,-0.393,0.149
LOC100289186,-0.154,0.330
LOC100289200,0.022,0.728
LOC100289255,-0.493,0.354
LOC100289333,-0.289,0.381
LOC100289341,-0.055,0.540
LOC100289388,-0.131,0.711
LOC100289509,-0.267,0.279
LOC100289580,0.336,0.477
LOC100289650,-0.379,0.149
LOC100291323,0.150,0.248
LOC100292409,-0.155,0.656
LOC100292680,0.008,0.889
LOC100292905,0.071,0.810
LOC100293516,-0.075,0.901
LOC100306975,-0.079,0.812
LOC100329135,0.033,0.611
LOC100335030,0.455,0.434
LOC100499183,0.003,0.929
LOC100499221,-0.440,0.179
LOC100499484,-0.087,0.636
LOC100500938,1.050,0.160
LOC100505488,0.239,0.262
LOC100505501,0.310,0.279
LOC100505564,-0.197,0.385
LOC100505585,-0.440,0.301
LOC100505635,1.160,0.274
LOC100505648,0.084,0.587
LOC100505679,-0.079,0.744
LOC100505683,-0.707,0.053
LOC100505695,-0.313,0.493
LOC100505719,0.063,0.428
LOC100505806,-0.145,0.530
LOC100505841,0.154,0.175
LOC100505870,0.007,0.903
LOC100505873,-0.185,0.339
LOC100505876,-0.100,0.131
LOC100505880,-0.149,0.244
LOC100505890,0.422,0.089
LOC100505933,-0.426,0.443
LOC100506036,-0.315,0.404
LOC100506105,0.131,0.617
LOC100506123,0.114,0.601
LOC100506127,-0.103,0.488
LOC100506128,0.575,0.300
LOC100506136,-0.191,0.591
LOC100506173,0.132,0.593
LOC100506190,0.058,0.717
LOC100506191,-0.336,0.115
LOC100506220,0.165,0.724
LOC100506241,0.010,0.867
LOC100506247,0.059,0.849
LOC100506253,-0.442,0.052
LOC100506255,0.670,0.131
LOC100506272,0.166,0.406
LOC100506310,0.054,0.736
LOC100506328,-0.744,0.022
LOC100506342,-0.222,0.060
LOC100506351,0.034,0.638
LOC100506390,-0.019,0.880
LOC100506393,-0.243,0.124
LOC100506422,0.148,0.185
LOC100506459,-0.155,0.298
LOC100506485,1.920,0.206
LOC100506514,0.448,0.280
LOC100506533,-0.226,0.059
LOC100506639,-0.071,0.668
LOC100506650,-0.109,0.863
LOC100506676,-0.191,0.175
LOC100506694,-0.163,0.113
LOC100506710,-0.082,0.504
LOC100506713,0.030,0.494
LOC100506731,0.053,0.857
LOC100506733,0.021,0.741
LOC100506748,0.018,0.909
LOC100506816,-0.339,0.235
LOC100506866,0.036,0.847
LOC100506871,0.364,0.061
LOC100506898,0.201,0.145
LOC100506930,-0.020,0.818
LOC100506955,0.039,0.524
LOC100506972,0.453,0.356
LOC100507003,0.297,0.146
LOC100507012,-0.106,0.546
LOC100507050,0.104,0.849
LOC100507055,-1.470,0.002
LOC100507073,0.168,0.751
LOC100507096,-0.258,0.364
LOC100507199,-0.204,0.138
LOC100507203,-0.386,0.123
LOC100507205,-0.112,0.642
LOC100507206,-0.031,0.846
LOC100507236,-0.065,0.797
LOC100507244,-0.042,0.637
LOC100507362,-0.209,0.343
LOC100507410,-0.185,0.058
LOC100507421,-0.006,0.962
LOC100507431,0.162,0.097
LOC100507465,0.029,0.673
LOC100507505,-0.654,0.079
LOC100507507,0.097,0.727
LOC100507530,-1.350,0.327
LOC100507547,0.007,0.172
LOC100507605,0.024,0.686
LOC100507634,0.693,0.074
LOC100507637,-0.127,0.843
LOC100507650,0.910,0.201
LOC100507747,-0.095,0.646
LOC100508233,0.002,0.973
LOC100508383,-0.329,0.382
LOC100508384,-0.155,0.228
LOC100509091,-0.470,0.319
LOC100509175,-0.011,0.956
LOC100509196,-0.093,0.769
LOC100509378,-0.348,0.537
LOC100509490,0.287,0.514
LOC100509553,-0.187,0.366
LOC100509763,0.026,0.690
LOC100509860,-0.320,0.183
LOC100509861,0.065,0.761
LOC100616668,-0.519,0.572
LOC100628314,0.012,0.861
LOC100652742,0.254,0.808
LOC100652758,0.184,0.371
LOC100652762,0.235,0.593
LOC100652763,0.210,0.093
LOC100652764,-0.084,0.339
LOC100652774,0.023,0.707
LOC100652791,0.446,0.022
LOC100652797,0.179,0.689
LOC100652805,-0.300,0.322
LOC100652807,-0.235,0.261
LOC100652822,0.052,0.623
LOC100652824,0.635,0.308
LOC100652838,-0.102,0.555
LOC100652851,-0.279,0.224
LOC100652857,-0.241,0.441
LOC100652869,0.581,0.070
LOC100652917,-0.228,0.344
LOC100652922,-0.376,0.542
LOC100652953,-0.321,0.351
LOC100652967,-0.145,0.850
LOC100652995,-0.275,0.133
LOC100653000,0.019,0.758
LOC100653058,0.007,0.956
LOC100653060,0.026,0.675
LOC100653080,-0.258,0.440
LOC100653108,0.625,0.216
LOC100653210,-0.402,0.045
LOC100653224,-0.116,0.775
LOC100653245,0.439,0.302
LOC100653259,0.093,0.430
LOC100653275,-0.008,0.888
LOC100653296,0.815,0.279
LOC100653325,-0.036,0.884
LOC100653515,0.387,0.054
LOC113230,0.153,0.632
LOC115110,-0.128,0.142
LOC116437,-0.425,0.177
LOC120824,-0.297,0.522
LOC126536,0.003,0.963
LOC127841,-0.119,0.633
LOC128322,0.031,0.891
LOC142937,-0.491,0.065
LOC143188,0.548,0.647
LOC143286,-0.660,0.178
LOC143666,-0.009,0.975
LOC144481,-0.292,0.105
LOC144486,0.579,0.018
LOC144571,-0.162,0.552
LOC144742,-0.442,0.512
LOC144817,-0.399,0.424
LOC145216,0.514,0.313
LOC145474,0.322,0.337
LOC145678,-0.009,0.873
LOC145694,0.287,0.139
LOC145757,-0.058,0.753
LOC145783,-0.369,0.048
LOC145820,-0.186,0.768
LOC145837,0.352,0.199
LOC145845,-0.406,0.204
LOC145945,-0.240,0.284
LOC146336,-0.396,0.150
LOC146481,0.013,0.827
LOC146513,0.017,0.790
LOC146795,-0.332,0.105
LOC146880,-0.110,0.794
LOC147004,1.340,0.002
LOC147093,-0.426,0.325
LOC147646,0.369,0.259
LOC147670,-1.110,0.079
LOC147727,-0.002,0.988
LOC147804,-0.084,0.558
LOC148145,0.312,0.524
LOC148189,-0.072,0.500
LOC148413,-0.233,0.075
LOC148638,-0.494,0.206
LOC148696,0.267,0.209
LOC148709,-0.095,0.558
LOC149134,0.124,0.689
LOC149351,-0.192,0.411
LOC149684,0.027,0.701
LOC149773,-0.111,0.837
LOC149837,-0.140,0.394
LOC149950,0.024,0.960
LOC150005,-0.080,0.793
LOC150185,-0.043,0.955
LOC150197,-0.266,0.084
LOC150381,-0.155,0.379
LOC150568,0.008,0.901
LOC150622,0.101,0.844
LOC150935,-0.186,0.325
LOC151009,-0.192,0.556
LOC151171,-1.330,0.153
LOC151174,0.069,0.708
LOC151300,0.187,0.756
LOC151475,0.234,0.488
LOC151484,-0.172,0.553
LOC151534,0.153,0.247
LOC151657,-0.003,0.957
LOC151658,0.013,0.827
LOC151760,1.180,0.066
LOC152024,-0.759,0.053
LOC152217,-0.141,0.154
LOC152225,0.183,0.690
LOC152274,0.028,0.683
LOC152286,0.004,0.991
LOC152578,0.074,0.393
LOC152586,0.010,0.883
LOC153469,0.012,0.851
LOC153546,-0.233,0.104
LOC153577,-0.131,0.688
LOC153684,-0.011,0.970
LOC153811,-0.035,0.600
LOC153910,0.168,0.367
LOC154449,0.204,0.236
LOC154761,-0.176,0.600
LOC154822,0.268,0.692
LOC154860,-0.011,0.961
LOC154872,-0.155,0.498
LOC155060,-0.071,0.768
LOC157273,0.945,0.156
LOC157381,-0.185,0.649
LOC157503,0.029,0.633
LOC157562,-0.149,0.130
LOC157627,-0.102,0.893
LOC157740,0.283,0.455
LOC157860,0.179,0.272
LOC157931,0.052,0.514
LOC158376,-0.015,0.946
LOC158402,-0.259,0.263
LOC158434,0.011,0.853
LOC158435,0.053,0.711
LOC158572,-0.394,0.432
LOC158696,-0.543,0.038
LOC158863,-0.436,0.077
LOC158960,0.196,0.450
LOC170425,-0.985,0.000
LOC1720,0.014,0.813
LOC199897,0.028,0.637
LOC200261,0.072,0.854
LOC200609,-0.673,0.006
LOC200726,0.144,0.484
LOC200772,0.592,0.225
LOC200830,0.239,0.370
LOC201477,-2.320,0.001
LOC201617,-0.890,0.104
LOC201651,-0.244,0.070
LOC202025,0.253,0.305
LOC202181,0.060,0.756
LOC202781,-0.415,0.395
LOC203274,-0.753,0.042
LOC219347,-0.592,0.151
LOC219690,0.046,0.568
LOC219731,-0.498,0.278
LOC220729,-0.173,0.342
LOC220906,-0.229,0.252
LOC221122,0.038,0.560
LOC221442,0.055,0.806
LOC221814,1.250,0.157
LOC221946,0.078,0.903
LOC253039,0.356,0.599
LOC253044,0.049,0.458
LOC253573,-0.334,0.322
LOC253805,0.065,0.705
LOC253962,-0.153,0.360
LOC254057,-0.077,0.414
LOC254099,-0.346,0.323
LOC254100,0.089,0.555
LOC254128,-0.220,0.139
LOC254312,0.386,0.273
LOC254559,-0.116,0.815
LOC254896,0.045,0.707
LOC255025,0.004,0.948
LOC255167,-0.092,0.715
LOC255177,-0.015,0.962
LOC255411,0.015,0.794
LOC255480,0.382,0.476
LOC255512,0.061,0.677
LOC255654,0.949,0.301
LOC256483,0.026,0.693
LOC256880,-0.877,0.084
LOC257152,-0.295,0.420
LOC257358,0.420,0.210
LOC257396,-0.434,0.021
LOC280665,0.048,0.811
LOC282980,-0.089,0.424
LOC282997,-0.137,0.233
LOC283028,0.570,0.529
LOC283038,-0.082,0.834
LOC283050,0.356,0.097
LOC283070,0.027,0.799
LOC283075,-0.065,0.793
LOC283089,-0.289,0.369
LOC283112,-0.058,0.766
LOC283140,-0.055,0.602
LOC283143,0.518,0.620
LOC283174,-0.118,0.621
LOC283214,-0.137,0.367
LOC283270,-0.015,0.977
LOC283332,-0.013,0.824
LOC283335,-0.092,0.744
LOC283352,-0.525,0.015
LOC283387,0.187,0.695
LOC283392,-0.296,0.182
LOC283403,0.295,0.365
LOC283404,0.108,0.306
LOC283435,-0.119,0.572
LOC283440,0.210,0.702
LOC283454,0.513,0.424
LOC283475,0.024,0.708
LOC283481,-0.050,0.851
LOC283482,-0.538,0.470
LOC283483,-0.065,0.470
LOC283484,0.130,0.185
LOC283485,-0.646,0.136
LOC283486,0.023,0.714
LOC283501,0.002,0.978
LOC283516,-0.404,0.330
LOC283547,0.066,0.752
LOC283553,0.674,0.066
LOC283575,-0.344,0.112
LOC283585,0.294,0.152
LOC283588,-0.209,0.375
LOC283624,0.028,0.877
LOC283663,-0.279,0.102
LOC283665,0.231,0.192
LOC283674,0.310,0.263
LOC283692,0.100,0.206
LOC283693,-0.241,0.405
LOC283710,-0.194,0.523
LOC283713,-1.140,0.020
LOC283728,-1.010,0.077
LOC283731,-0.360,0.669
LOC283737,0.028,0.685
LOC283738,0.006,0.915
LOC283761,-0.227,0.441
LOC283788,-0.031,0.806
LOC283854,0.092,0.798
LOC283856,1.390,0.298
LOC283861,0.143,0.556
LOC283867,0.192,0.069
LOC283887,-0.006,0.975
LOC283888,0.236,0.584
LOC283911,0.239,0.127
LOC283914,-0.232,0.345
LOC283922,0.282,0.487
LOC284009,0.004,0.990
LOC284014,-0.154,0.534
LOC284023,0.582,0.183
LOC284072,-0.084,0.910
LOC284080,-0.468,0.172
LOC284100,-0.005,0.932
LOC284108,-0.720,0.150
LOC284191,-0.382,0.322
LOC284215,0.022,0.708
LOC284219,-0.214,0.090
LOC284240,-0.003,0.959
LOC284242,-0.204,0.201
LOC284244,-0.296,0.352
LOC284260,0.101,0.868
LOC284263,-0.539,0.191
LOC284276,0.056,0.001
LOC284294,0.041,0.512
LOC284373,-0.264,0.023
LOC284379,-0.361,0.209
LOC284395,-0.658,0.260
LOC284408,-0.100,0.445
LOC284412,-0.721,0.267
LOC284440,-0.214,0.357
LOC284454,-0.047,0.668
LOC284513,-0.024,0.902
LOC284551,0.848,0.003
LOC284561,-0.021,0.808
LOC284570,-0.756,0.087
LOC284576,0.530,0.346
LOC284577,-0.577,0.167
LOC284578,0.014,0.805
LOC284581,-0.525,0.002
LOC284628,-0.644,0.173
LOC284630,0.606,0.401
LOC284632,0.043,0.474
LOC284648,-0.011,0.854
LOC284661,-1.690,0.303
LOC284669,-0.734,0.016
LOC284688,-0.179,0.411
LOC284751,-0.390,0.130
LOC284757,-0.274,0.272
LOC284788,-0.324,0.503
LOC284798,0.034,0.584
LOC284801,0.048,0.469
LOC284837,0.085,0.434
LOC284889,-0.108,0.405
LOC284926,-0.560,0.382
LOC284930,0.297,0.390
LOC284933,0.297,0.526
LOC284939,-0.103,0.676
LOC284950,0.297,0.679
LOC284998,0.299,0.301
LOC285000,-0.005,0.924
LOC285033,0.228,0.053
LOC285084,-0.258,0.538
LOC285095,-0.014,0.709
LOC285103,0.824,0.151
LOC285141,-0.453,0.013
LOC285147,-0.954,0.006
LOC285173,-1.400,0.010
LOC285178,-0.260,0.123
LOC285181,-1.060,0.063
LOC285191,0.239,0.184
LOC285205,0.032,0.626
LOC285281,0.244,0.209
LOC285286,-0.241,0.079
LOC285300,-0.439,0.391
LOC285326,0.005,0.934
LOC285370,-0.139,0.369
LOC285375,0.022,0.736
LOC285389,-0.778,0.044
LOC285401,1.070,0.220
LOC285419,0.011,0.864
LOC285422,0.142,0.321
LOC285441,0.401,0.094
LOC285456,0.071,0.568
LOC285484,0.019,0.761
LOC285501,-0.010,0.871
LOC285547,-0.193,0.819
LOC285548,0.064,0.387
LOC285556,-0.187,0.176
LOC285577,0.146,0.271
LOC285593,-0.099,0.674
LOC285626,1.320,0.026
LOC285627,-1.400,0.067
LOC285629,0.185,0.721
LOC285692,0.203,0.137
LOC285696,-0.125,0.769
LOC285740,0.183,0.152
LOC285758,-0.090,0.589
LOC285762,0.653,0.254
LOC285766,0.026,0.653
LOC285768,0.028,0.633
LOC285778,0.013,0.823
LOC285796,0.034,0.596
LOC285819,0.012,0.833
LOC285857,-0.395,0.277
LOC285878,-1.100,0.319
LOC285889,0.270,0.405
LOC285943,0.024,0.706
LOC285954,0.329,0.349
LOC285957,0.316,0.366
LOC285965,-1.040,0.026
LOC285972,0.005,0.986
LOC286002,0.012,0.841
LOC286052,-0.359,0.058
LOC286058,-0.388,0.295
LOC286059,-0.209,0.608
LOC286063,-0.108,0.855
LOC286068,0.129,0.861
LOC286071,-0.384,0.041
LOC286083,0.025,0.720
LOC286087,0.411,0.188
LOC286094,0.227,0.089
LOC286109,-0.259,0.115
LOC286114,0.006,0.919
LOC286121,0.131,0.613
LOC286135,0.037,0.533
LOC286149,0.087,0.338
LOC286154,-0.378,0.539
LOC286161,0.267,0.324
LOC286177,0.042,0.507
LOC286184,1.120,0.303
LOC286186,0.584,0.548
LOC286189,0.032,0.625
LOC286190,0.023,0.738
LOC286238,0.512,0.661
LOC286272,1.330,0.012
LOC286299,0.843,0.159
LOC286359,1.000,0.162
LOC286367,-0.805,0.028
LOC286370,0.001,0.987
LOC286382,-0.369,0.244
LOC286437,0.017,0.921
LOC286442,-0.699,0.353
LOC286467,0.004,0.951
LOC338579,-0.286,0.404
LOC338588,0.294,0.438
LOC338620,-0.093,0.557
LOC338651,-0.315,0.373
LOC338653,0.088,0.686
LOC338667,0.323,0.426
LOC338694,-0.727,0.002
LOC338739,-0.926,0.001
LOC338758,-0.120,0.761
LOC338797,0.053,0.780
LOC338799,0.028,0.753
LOC338817,-0.987,0.002
LOC338963,-0.027,0.936
LOC339240,-0.434,0.189
LOC339260,-0.482,0.232
LOC339290,0.436,0.403
LOC339298,0.200,0.070
LOC339316,0.176,0.364
LOC339352,0.018,0.832
LOC339400,-0.445,0.334
LOC339442,0.012,0.945
LOC339505,0.019,0.749
LOC339524,-0.170,0.660
LOC339529,-0.045,0.945
LOC339535,0.044,0.618
LOC339539,-0.786,0.012
LOC339568,-0.341,0.509
LOC339593,0.009,0.878
LOC339666,-0.175,0.641
LOC339685,0.021,0.739
LOC339788,-0.683,0.235
LOC339803,-0.032,0.733
LOC339807,0.239,0.408
LOC339822,0.011,0.848
LOC339862,1.560,0.231
LOC339874,-0.862,0.242
LOC339894,-0.420,0.026
LOC339926,-0.228,0.291
LOC339975,0.027,0.951
LOC339988,-0.057,0.743
LOC340017,-0.019,0.862
LOC340037,0.021,0.942
LOC340073,0.299,0.483
LOC340074,0.863,0.061
LOC340090,0.020,0.755
LOC340094,-0.518,0.165
LOC340107,0.064,0.429
LOC340113,0.058,0.425
LOC340178,0.251,0.303
LOC340239,-0.168,0.741
LOC340335,0.085,0.709
LOC340340,0.190,0.737
LOC340357,0.065,0.869
LOC340508,-0.084,0.784
LOC340512,0.002,0.969
LOC340515,-0.132,0.794
LOC343052,0.006,0.922
LOC344887,0.644,0.023
LOC344967,0.048,0.675
LOC345051,0.022,0.933
LOC347411,-0.142,0.319
LOC348120,0.417,0.534
LOC348761,-0.170,0.301
LOC348840,-0.189,0.692
LOC349160,0.206,0.532
LOC349196,0.002,0.999
LOC374443,0.091,0.816
LOC374890,-0.014,0.959
LOC375190,-0.281,0.273
LOC375196,0.606,0.144
LOC375295,0.025,0.711
LOC386597,0.862,0.452
LOC386758,-0.058,0.480
LOC387646,0.296,0.603
LOC387647,0.015,0.879
LOC387720,0.240,0.286
LOC387810,-0.082,0.491
LOC387895,0.377,0.510
LOC388152,0.123,0.138
LOC388210,0.324,0.215
LOC388242,-0.124,0.423
LOC388276,0.133,0.782
LOC388387,0.223,0.121
LOC388456,0.034,0.602
LOC388553,-0.194,0.326
LOC388588,-0.010,0.914
LOC388630,-0.220,0.032
LOC388692,0.087,0.559
LOC388780,-0.270,0.078
LOC388796,0.103,0.901
LOC388813,0.073,0.753
LOC388849,-0.714,0.434
LOC388882,0.082,0.823
LOC388906,-0.244,0.037
LOC388942,0.462,0.511
LOC388946,-0.187,0.594
LOC388948,-0.273,0.047
LOC389023,-0.072,0.848
LOC389033,-0.024,0.948
LOC389043,-0.401,0.674
LOC389199,-0.596,0.346
LOC389247,-0.029,0.911
LOC389273,0.071,0.688
LOC389300,0.016,0.809
LOC389332,-0.351,0.228
LOC389493,-0.063,0.646
LOC389602,-0.155,0.530
LOC389607,0.770,0.064
LOC389634,0.026,0.739
LOC389641,-0.101,0.799
LOC389676,0.059,0.747
LOC389765,0.150,0.379
LOC389791,-0.445,0.280
LOC389831,-0.256,0.007
LOC389834,-0.091,0.249
LOC389906,0.053,0.634
LOC390660,0.007,0.258
LOC390705,0.368,0.264
LOC390858,0.120,0.535
LOC390877,0.010,0.862
LOC390937,0.228,0.634
LOC390940,-0.057,0.750
LOC391322,-0.194,0.111
LOC391636,0.567,0.016
LOC391764,0.314,0.385
LOC391766,0.202,0.745
LOC391767,-0.299,0.059
LOC392196,0.136,0.606
LOC392288,0.215,0.569
LOC392364,0.094,0.810
LOC393078,0.505,0.401
LOC399708,0.006,0.919
LOC399715,0.587,0.091
LOC399744,0.039,0.797
LOC399753,-0.077,0.540
LOC399815,-0.324,0.211
LOC399829,-0.304,0.713
LOC399875,0.143,0.788
LOC399900,-0.225,0.076
LOC399939,-0.887,0.127
LOC400027,0.280,0.280
LOC400043,0.275,0.211
LOC400084,-0.491,0.419
LOC400099,-0.172,0.102
LOC400128,0.045,0.830
LOC400236,0.110,0.353
LOC400238,-0.228,0.358
LOC400456,-0.882,0.127
LOC400464,0.242,0.509
LOC400499,0.286,0.502
LOC400541,0.022,0.951
LOC400548,-0.926,0.121
LOC400550,0.092,0.257
LOC400568,0.300,0.241
LOC400620,0.024,0.681
LOC400622,-0.205,0.442
LOC400643,0.091,0.566
LOC400654,0.036,0.611
LOC400655,0.041,0.914
LOC400657,-0.125,0.768
LOC400662,-0.248,0.476
LOC400682,0.549,0.145
LOC400684,-0.368,0.085
LOC400685,0.562,0.120
LOC400706,-0.059,0.933
LOC400743,0.041,0.506
LOC400752,-0.310,0.079
LOC400756,-0.261,0.109
LOC400768,0.051,0.400
LOC400794,-0.009,0.882
LOC400891,0.006,0.949
LOC400927,0.433,0.001
LOC400940,0.044,0.489
LOC400943,-0.448,0.159
LOC400950,0.288,0.624
LOC400958,0.011,0.854
LOC400965,-0.541,0.313
LOC400968,-0.049,0.806
LOC401022,-0.327,0.313
LOC401037,-0.058,0.817
LOC401052,-0.050,0.776
LOC401093,-0.310,0.312
LOC401098,0.013,0.830
LOC401127,0.055,0.408
LOC401134,-0.261,0.251
LOC401164,0.171,0.578
LOC401176,0.039,0.876
LOC401177,0.018,0.764
LOC401180,1.040,0.012
LOC401188,0.146,0.403
LOC401220,-0.101,0.771
LOC401242,0.423,0.505
LOC401286,-0.027,0.386
LOC401296,0.014,0.814
LOC401320,-0.051,0.949
LOC401324,0.020,0.728
LOC401357,0.046,0.660
LOC401397,-0.012,0.977
LOC401400,0.137,0.165
LOC401410,-0.014,0.821
LOC401431,-0.077,0.728
LOC401433,-0.013,0.829
LOC401442,0.014,0.813
LOC401445,0.013,0.838
LOC401463,-0.156,0.434
LOC401480,-0.293,0.042
LOC401490,0.059,0.339
LOC401497,0.021,0.743
LOC401557,0.303,0.851
LOC401561,0.069,0.789
LOC401588,-0.017,0.895
LOC401847,-0.299,0.442
LOC401980,-0.146,0.627
LOC402160,0.362,0.550
LOC402779,-0.908,0.026
LOC404266,0.008,0.897
LOC407835,0.030,0.663
LOC414300,0.024,0.688
LOC415056,0.310,0.601
LOC439911,-0.294,0.109
LOC439914,0.792,0.030
LOC439949,0.179,0.140
LOC439950,0.000,0.998
LOC439951,0.180,0.448
LOC439990,-0.271,0.117
LOC440028,-0.351,0.072
LOC440031,-0.217,0.164
LOC440040,-0.761,0.317
LOC440082,0.283,0.334
LOC440104,-0.086,0.284
LOC440117,0.017,0.809
LOC440131,0.063,0.396
LOC440132,-0.230,0.331
LOC440149,0.104,0.271
LOC440173,0.019,0.841
LOC440292,0.157,0.160
LOC440297,-0.018,0.335
LOC440313,0.347,0.221
