HGNC_SYMBOL,LOG2FC,PVALUE
ADCY1,0.215,0.220
ADCY10,-0.206,0.383
ADCY2,-0.025,0.753
ADCY3,0.046,0.674
ADCY4,0.068,0.562
ADCY5,-0.624,0.076
ADCY6,-0.082,0.549
ADCY7,-0.009,0.987
ADCY8,0.232,0.499
ADCY9,0.056,0.753
ADCYAP1,0.157,0.198
ADCYAP1R1,-0.012,0.952
ADD1,0.267,0.074
ADD2,0.133,0.539
ADD3,0.097,0.425
ADH1A,-0.647,0.041
ADH1B,-0.647,0.091
ADH1C,-0.602,0.036
ADH4,-0.611,0.046
ADH5,-0.028,0.834
ADH6,-0.515,0.126
ADH7,0.021,0.920
ADHFE1,0.195,0.186
ADI1,0.025,0.903
ADIG,-0.006,0.987
ADIPOQ,0.562,0.148
ADIPOR1,0.189,0.033
ADIPOR2,0.207,0.190
ADK,-0.077,0.286
ADM,0.612,0.015
ADM2,0.072,0.704
ADNP,-0.117,0.104
ADNP2,-0.006,0.951
ADO,-0.004,0.985
ADORA1,-0.128,0.674
ADORA2A,0.251,0.367
ADORA2B,-0.045,0.845
ADORA3,-0.303,0.747
ADPGK,0.148,0.242
ADPRH,-0.059,0.673
ADPRHL1,-0.068,0.679
ADPRHL2,-0.044,0.635
ADRA1A,-0.130,0.914
ADRA1B,-0.629,0.005
ADRA1D,0.458,0.091
ADRA2A,-0.493,0.052
ADRA2B,0.028,0.902
ADRA2C,0.817,0.000
ADRB1,1.080,0.003
ADRB2,0.671,0.003
ADRB3,0.209,0.311
ADRBK1,-0.067,0.761
ADRBK2,0.319,0.109
ADRM1,0.112,0.227
ADSL,-0.063,0.460
ADSS,0.163,0.210
ADSSL1,0.194,0.170
AEBP1,-0.267,0.642
AEBP2,0.037,0.703
AEN,0.063,0.849
AES,0.048,0.578
AFAP1,0.195,0.431
AFAP1-AS1,0.411,0.027
AFAP1L1,0.309,0.034
AFAP1L2,-0.592,0.206
AFF1,0.198,0.448
AFF2,-0.114,0.491
AFF3,-0.292,0.708
AFF4,0.134,0.461
AFG3L1P,0.057,0.907
AFG3L2,-0.103,0.292
AFM,-0.931,0.008
AFMID,-0.187,0.263
AFP,-0.239,0.083
AFTPH,0.018,0.366
AGA,0.076,0.273
AGAP1,0.108,0.171
AGAP11,-0.119,0.694
AGAP2,0.351,0.098
AGAP3,0.117,0.336
AGAP7,0.092,0.827
AGBL1,0.015,0.728
AGBL2,-0.184,0.547
AGBL3,-0.111,0.361
AGBL4,0.225,0.596
AGBL5,0.163,0.382
AGER,0.104,0.246
AGFG1,0.052,0.319
AGFG2,-0.389,0.036
AGGF1,0.017,0.900
AGK,0.057,0.652
AGL,-0.237,0.086
AGMAT,-0.258,0.007
AGMO,0.144,0.594
AGPAT1,-0.004,0.967
AGPAT2,-0.064,0.561
AGPAT3,0.253,0.101
AGPAT4,0.371,0.174
AGPAT4-IT1,0.311,0.227
AGPAT5,-0.254,0.134
AGPAT6,0.209,0.118
AGPAT9,-0.050,0.519
AGPHD1,0.107,0.463
AGPS,-0.143,0.044
AGR2,-0.120,0.648
AGR3,0.047,0.538
AGRN,-0.115,0.324
AGRP,-0.220,0.233
AGSK1,0.134,0.116
AGT,-0.201,0.089
AGTPBP1,-0.008,0.912
AGTR1,0.073,0.660
AGTR2,0.022,0.855
AGTRAP,0.194,0.042
AGXT,0.222,0.354
AGXT2,-0.456,0.016
AGXT2L1,2.450,0.000
AGXT2L2,0.060,0.177
AHCTF1,-0.099,0.451
AHCY,0.042,0.563
AHCYL1,0.274,0.003
AHCYL2,-0.216,0.111
AHDC1,0.080,0.347
AHI1,0.051,0.575
AHNAK,-0.088,0.844
AHNAK2,0.133,0.886
AHR,0.319,0.003
AHRR,0.204,0.475
AHSA1,-0.006,0.932
AHSA2,-0.020,0.837
AHSG,-0.942,0.015
AHSP,-0.698,0.000
AICDA,0.017,0.773
AIDA,0.021,0.960
AIF1,-0.105,0.721
AIF1L,-0.103,0.005
AIFM1,-0.102,0.369
AIFM2,-0.219,0.166
AIFM3,-0.181,0.173
AIG1,-0.214,0.016
AIM1,-0.264,0.032
AIM1L,0.099,0.118
AIM2,0.001,0.984
AIMP1,-0.054,0.401
AIMP2,0.230,0.137
AIP,0.051,0.477
AIPL1,0.078,0.256
AIRE,0.018,0.906
AJAP1,-0.137,0.743
AJUBA,0.099,0.506
AK1,0.189,0.040
AK2,-0.070,0.264
AK3,-0.101,0.463
AK4,-0.300,0.086
AK5,0.044,0.064
AK7,-0.151,0.504
AK8,-0.043,0.860
AKAP1,-0.234,0.085
AKAP10,0.042,0.675
AKAP11,-0.120,0.400
AKAP12,-0.003,0.495
AKAP13,-0.068,0.721
AKAP14,-0.038,0.945
AKAP17A,-0.198,0.043
AKAP2,0.122,0.364
AKAP3,-0.121,0.444
AKAP4,-0.098,0.730
AKAP5,0.815,0.006
AKAP6,-0.287,0.501
AKAP7,-0.350,0.047
AKAP8,-0.177,0.124
AKAP8L,0.080,0.257
AKAP9,-0.319,0.043
AKD1,0.317,0.060
AKIP1,0.091,0.199
AKIRIN1,-0.085,0.217
AKIRIN2,0.235,0.262
AKIRIN2-AS1,-0.074,0.393
AKNA,0.353,0.278
AKNAD1,0.084,0.890
AKR1A1,0.037,0.630
AKR1B1,0.223,0.063
AKR1B10,0.248,0.004
AKR1B15,0.284,0.017
AKR1C1,-0.117,0.127
AKR1C3,0.117,0.194
AKR1C4,-0.361,0.038
AKR1CL1,-0.733,0.028
AKR1D1,0.143,0.841
AKR1E2,0.022,0.937
AKR7A2,0.141,0.094
AKR7A2P1,-0.182,0.052
AKR7A3,-0.215,0.027
AKR7L,-0.334,0.003
AKT1,0.038,0.673
AKT1S1,0.028,0.918
AKT2,-0.030,0.520
AKT3,0.014,0.987
AKTIP,-0.227,0.065
ALAD,-0.257,0.232
ALAS1,1.690,0.000
ALAS2,-0.342,0.129
ALB,-0.554,0.004
ALCAM,-0.242,0.131
ALDH16A1,-0.236,0.044
ALDH18A1,0.017,0.878
ALDH1A1,0.020,0.912
ALDH1A2,-0.147,0.697
ALDH1A3,-0.229,0.604
ALDH1B1,0.033,0.800
ALDH1L1,-0.067,0.544
ALDH1L2,-0.245,0.577
ALDH2,0.431,0.014
ALDH3A1,-0.541,0.000
ALDH3A2,-0.001,0.520
ALDH3B1,0.219,0.137
ALDH3B2,0.615,0.144
ALDH4A1,-0.090,0.474
ALDH5A1,-0.053,0.607
ALDH6A1,-0.428,0.004
ALDH7A1,-0.192,0.448
ALDH8A1,-1.270,0.006
ALDH9A1,0.277,0.148
ALDOA,0.038,0.767
ALDOAP2,-0.130,0.332
ALDOB,-1.555,0.000
ALDOC,0.012,0.887
ALG1,0.028,0.282
ALG10,-0.013,0.959
ALG10B,-0.122,0.230
ALG11,-0.124,0.457
ALG12,0.038,0.812
ALG13,-0.136,0.273
ALG14,-0.142,0.228
ALG1L,0.124,0.258
ALG1L2,0.157,0.067
ALG2,0.003,0.283
ALG3,0.070,0.421
ALG5,-0.076,0.517
ALG6,0.077,0.417
ALG8,-0.008,0.907
ALG9,-0.028,0.727
ALK,0.299,0.270
ALKBH1,0.125,0.353
ALKBH2,-0.014,0.892
ALKBH3,-0.008,0.861
